file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
er_sang_die_lieder.wav,de,1,ɛ,1,1,0.155,0.1965,0.17575000000000002,0.04150000000000001,99.27187604759361,65.98118400796017,10,231.72200807067054,1517.3972670162452,2908.226289117706
er_sang_die_lieder.wav,de,2,ɾ,1,1,0.1965,0.238,0.21725,0.04149999999999998,107.5934591745493,68.08658994456928,10,323.80446529203317,1566.0959070477006,2619.270657677884
er_sang_die_lieder.wav,de,3,z,2,2,0.28,0.33533333333333337,0.3076666666666667,0.055333333333333345,110.336161311603,74.30015559763666,10,628.4344163108342,1740.8262852717048,2393.133928434222
er_sang_die_lieder.wav,de,4,a,2,2,0.33533333333333337,0.39066666666666666,0.363,0.05533333333333329,127.34521518541627,74.09676133217094,10,240.13770235784114,717.5716834312703,2307.694238343293
er_sang_die_lieder.wav,de,5,ŋ,2,2,0.39066666666666666,0.446,0.41833333333333333,0.055333333333333345,151.33190736428747,76.29929821711946,10,275.9716757777603,2283.783953564419,2965.5437171858175
er_sang_die_lieder.wav,de,6,d,3,3,0.467,0.519,0.493,0.05199999999999999,158.81797007013708,69.45576012120256,10,229.44398333200272,2112.6894577246,2695.032736631382
er_sang_die_lieder.wav,de,7,iː,3,3,0.519,0.571,0.5449999999999999,0.051999999999999935,140.7177386490217,72.14967589614942,10,247.68662411447937,2246.476898541503,2731.8070001863457
er_sang_die_lieder.wav,de,8,l,4,4,0.612,0.67425,0.643125,0.06225000000000003,116.83399044386013,73.50058750937484,10,250.14656012865652,2242.951934341412,2875.910065351286
er_sang_die_lieder.wav,de,9,iː,4,4,0.67425,0.7364999999999999,0.705375,0.062249999999999917,109.68892144879348,70.67139943076967,10,352.74167209576547,1790.878426139372,2730.0621026624935
er_sang_die_lieder.wav,de,10,d,5,4,0.7364999999999999,0.79875,0.767625,0.06225000000000003,96.75561613459834,72.1083650551644,10,527.8605339866407,1512.4846352371264,2586.8736743403647
er_sang_die_lieder.wav,de,11,ɜ,5,4,0.79875,0.861,0.8298749999999999,0.06225000000000003,96.8082141913247,68.182375168,10,258.3649904932447,1388.49414343784,1926.558086063304
